date,max_proba,dominant_state,state_proba
2026-03-17,0.9993127648586384,0,"[0.9993127648586384, 2.36727156083366e-10, 0.0006872349046375233]"
2026-03-18,0.9999999998858158,2,"[1.1418865170812995e-10, 7.362477648776119e-61, 0.9999999998858158]"
2026-03-19,0.9937628419982124,0,"[0.9937628419982124, 0.006236995217052832, 1.627847389412301e-07]"
2026-03-20,0.9986190340680975,2,"[5.052824879451028e-05, 0.0013304376831010647, 0.9986190340680975]"
2026-03-21,0.996196529883257,1,"[3.4596346594862197e-23, 0.996196529883257, 0.0038034701167379377]"
2026-03-22,0.9987864342299994,1,"[0.0012133089835162788, 0.9987864342299994, 2.5678647741448863e-07]"
2026-03-23,0.9999993290232374,1,"[6.709767601305614e-07, 0.9999993290232374, 5.300214236252294e-46]"
2026-03-24,0.9995369476609384,2,"[0.00042908478072830464, 3.396755833826113e-05, 0.9995369476609384]"
2026-03-25,0.9970858335257107,1,"[4.100311235901507e-05, 0.9970858335257107, 0.002873163361932741]"
2026-03-26,0.9999999999670308,0,"[0.9999999999670308, 3.1101113380117884e-11, 1.864329132660609e-12]"
2026-03-27,0.9999999999583622,0,"[0.9999999999583622, 3.8837291921310786e-11, 2.8059612705279028e-12]"
2026-03-28,0.9994209658171741,1,"[0.0002989985596996304, 0.9994209658171741, 0.00028003562313049033]"
2026-03-29,0.9996656391609133,1,"[0.00031209755349424626, 0.9996656391609133, 2.2263285593411638e-05]"
2026-03-30,0.9961526729279355,1,"[4.116766579167437e-05, 0.9961526729279355, 0.0038061594062757933]"
2026-03-31,0.8856609362784599,0,"[0.8856609362784599, 0.00039285293378082215, 0.11394621078775323]"
2026-04-01,0.9995959034773578,2,"[8.413782795358348e-05, 0.0003199586946860332, 0.9995959034773578]"
2026-04-02,0.997310298185287,2,"[0.002689601275173441, 1.0053954047264802e-07, 0.997310298185287]"
2026-04-03,0.9875144456983123,0,"[0.9875144456983123, 0.012004476560978049, 0.00048107774071610136]"
2026-04-04,0.8723765300217541,0,"[0.8723765300217541, 0.12669077787174834, 0.0009326921064931131]"
2026-04-05,0.9979504551035985,1,"[1.2686733603523037e-26, 0.9979504551035985, 0.002049544896396612]"
2026-04-06,0.9986210861850744,0,"[0.9986210861850744, 0.0008085322117110418, 0.0005703816032188952]"
2026-04-07,0.9912210179251331,1,"[1.3158417189538693e-157, 0.9912210179251331, 0.008778982074865398]"
2026-04-08,0.9993160078203841,0,"[0.9993160078203841, 2.519165874055586e-09, 0.0006839896604481366]"
2026-04-09,0.9248234004035333,1,"[0.07276507314980521, 0.9248234004035333, 0.002411526446660633]"
2026-04-10,0.9972859907545727,0,"[0.9972859907545727, 7.032139156255326e-07, 0.0027133060315157834]"
2026-04-11,0.9887872489297261,1,"[0.010612608650741557, 0.9887872489297261, 0.0006001424195380075]"
2026-04-12,0.9999953871864258,1,"[4.612669560762023e-06, 0.9999953871864258, 1.440186451799308e-10]"
2026-04-13,0.9999999402084416,2,"[2.6598873269346062e-83, 5.979155683432614e-08, 0.9999999402084416]"
2026-04-14,0.9995624827103047,0,"[0.9995624827103047, 0.00038601835040533514, 5.1498939288621993e-05]"
2026-04-15,0.9982851216288546,0,"[0.9982851216288546, 4.652427879171364e-05, 0.0016683540923487113]"
2026-04-16,0.9996977725663106,2,"[9.658370833906556e-05, 0.00020564372534968996, 0.9996977725663106]"
